doi,pmid,title,authors,journal,year,pub_date,pub_types,section,subtopic,tags,take,impact,digests,first_seen,source,confidence,verified,oa,has_abstract,url
10.1001/jama.1982.03320430091044,,"Acquired Bleeding Disorders in Children, vol 3, Abnormalities of Hemostatis; vol 4, Platelet Abnormalities and Laboratory Methods","Seeler, Ruth Andrea",JAMA: The Journal of the American Medical Association,1982,,,Misc,transfusion,,,,2021-01,2021-01-01,archive,1.0,True,False,False,https://journals.lww.com/pccmjournal/Fulltext/2021/02000/The_Association_of_Laboratory_Test_Abnormalities.3.aspx
10.1001/jama.2012.144272,,Error in Figure Axis in: Daily Sedation Interruption in Mechanically Ventilated Critically Ill Patients Cared for With a Sedation Protocol: A Randomized Controlled Trial,,JAMA,2013,,,Respiratory/ARDS,general,,,,2025-06,2025-06-01,archive,1.0,True,False,False,https://jamanetwork.com/journals/jama/fullarticle/2835384
10.1001/jama.2014.7991,,Introducing the JAMA Guide to Statistics and Methods,"Livingston, Edward H.",JAMA,2014,,,Misc,methods-stats,,,,2023-10,2023-10-01,archive,0.917,True,False,False,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2810863
10.1001/jama.2015.135,,Insulin Dosing in Pediatric Diabetic Ketoacidosis,"Carmody, David; Naylor, Rochelle N.; Philipson, Louis H.",JAMA,2015,,,Misc,other,,,,2023-02,2023-02-01,archive,1.0,True,False,False,https://journals.lww.com/ccejournal/Fulltext/2023/02000/Insulin_Infusion_Dosing_in_Pediatric_Diabetic.14.aspx
10.1001/jama.2018.13201,,Five-Year Follow-up of Antibiotic Therapy for Uncomplicated Acute Appendicitis in the APPAC Randomized Clinical Trial,"Salminen, Paulina; Tuominen, Risto; Paajanen, Hannu; Rautio, Tero; Nordström, Pia; Aarnio, Markku; Rantanen, Tuomo; Hurme, Saija; Mecklin, Jukka-Pekka; Sand, Juhani; Virtanen, Johanna; Jartti, Airi; Grönroos, Juha M.",JAMA,2018,,,Misc,methods-stats,,,,2026-03,2026-03-01,archive,0.909,True,True,False,https://jamanetwork.com/journals/jama/fullarticle/2844116?guestAccessKey=0d7f20b5-a2e0-48c8-94c9-cee3a1efb051&utm_medium=email&utm_source=postup_jn&utm_campaign=article_alert-jama&utm_content=etoc-tfl_&utm_term=032426
10.1001/jama.2019.7876,,Strategies to Adjust Positive End-Expiratory Pressure in Patients With ARDS,"Yang, Xiaobo; Yuan, Shiying",JAMA,2019,,,Respiratory/ARDS,general,,,,2024-10,2024-10-01,archive,0.929,True,False,False,https://journal.chestnet.org/article/S0012-3692(24)00630-5/fulltext
10.1001/jama.2020.17052,,Cytokine Levels in Critically Ill Patients With COVID-19 and Other Conditions,"Kox, Matthijs; Waalders, Nicole J. B.; Kooistra, Emma J.; Gerretsen, Jelle; Pickkers, Peter",JAMA,2020,,,Misc,other,,,,2020-10,2020-10-01,archive,1.0,True,True,False,https://jamanetwork.com/journals/jama/fullarticle/2770484?guestAccessKey=a1c735e7-4b46-4d83-938a-19dc156b3a5a
10.1001/jama.2020.18618,,Effect of Regional Citrate Anticoagulation vs Systemic Heparin Anticoagulation During Continuous Kidney Replacement Therapy on Dialysis Filter Life Span and Mortality Among Critically Ill Patients With Acute Kidney Injury,"Zarbock, Alexander; Küllmar, Mira; Kindgen-Milles, Detlef; Wempe, Carola; Gerss, Joachim; Brandenburger, Timo; Dimski, Thomas; Tyczynski, Bartosz; Jahn, Michael; Mülling, Nils; Mehrländer, Martin; Rosenberger, Peter; Marx, Gernot; Simon, Tim Philipp; Jaschinski, Ulrich; Deetjen, Philipp; Putensen, Christian; Schewe, Jens-Christian; Kluge, Stefan; Jarczak, Dominik; Slowinski, Torsten; Bodenstein, Marc; Meybohm, Patrick; Wirtz, Stefan; Moerer, Onnen; Kortgen, Andreas; Simon, Philipp; Bagshaw, Sean M.; Kellum, John A.; Meersch, Melanie; RICH Investigators and the Sepnet Trial Group",JAMA,2020,,,Renal,AKI,,,,2020-10,2020-10-01,archive,0.982,True,True,False,https://jamanetwork.com/journals/jama/fullarticle/2771925?guestAccessKey=afc08d00-1cae-4258-92a8-c4f960ccd4d1&linkId=102714974
10.1001/jama.2020.19839,,Effect of Nebulized Magnesium vs Placebo Added to Albuterol on Hospitalization Among Children With Refractory Acute Asthma Treated in the Emergency Department,"Schuh, Suzanne; Sweeney, Judy; Rumantir, Maggie; Coates, Allan L.; Willan, Andrew R.; Stephens, Derek; Atenafu, Eshetu G.; Finkelstein, Yaron; Thompson, Graham; Zemek, Roger; Plint, Amy C.; Gravel, Jocelyn; Ducharme, Francine M.; Johnson, David W.; Black, Karen; Curtis, Sarah; Beer, Darcy; Klassen, Terry P.; Nicksy, Darcy; Freedman, Stephen B.; Pediatric Emergency Research Canada (PERC) Network",JAMA,2020,,,Misc,other,,,,2020-11,2020-11-01,archive,1.0,True,True,False,https://jamanetwork.com/journals/jama/fullarticle/10.1001/jama.2020.19839?guestAccessKey=8ef346be-3087-443a-98ac-fe6a08742efa&utm_source=silverchair&utm_medium=email&utm_campaign=article_alert-jama&utm_content=etoc&utm_term=112420
10.1001/jama.2020.20271,,Sensible Medicine—Balancing Intervention and Inaction During the COVID-19 Pandemic,"Seymour, Christopher W.; McCreary, Erin K.; Stegenga, Jacob",JAMA,2020,,,Misc,other,,,,2020-11,2020-11-01,archive,1.0,True,False,False,https://jamanetwork.com/journals/jama/fullarticle/2772072
10.1001/jama.2020.25007,,Incorporating Adult Evidence Into Pediatric Research and Practice,"Murthy, Srinivas; Fontela, Patricia; Berry, Scott",JAMA,2021,,,Misc,other,,,,2021-04,2021-04-01,archive,0.926,True,False,False,https://jamanetwork.com/journals/jama/fullarticle/2779422
